882 3
1.000000 84.300000 7106.490000
1.000000 159.800000 25536.040000
1.000000 170.200000 28968.040000
1.000000 133.100000 17715.610000
1.000000 60.100000 3612.010000
1.000000 77.500000 6006.250000
1.000000 158.600000 25153.960000
1.000000 120.200000 14448.040000
1.000000 25.000000 625.000000
1.000000 62.600000 3918.760000
1.000000 82.400000 6789.760000
1.000000 87.700000 7691.290000
1.000000 86.100000 7413.210000
1.000000 7.800000 60.840000
1.000000 177.600000 31541.760000
1.000000 87.500000 7656.250000
1.000000 51.000000 2601.000000
1.000000 145.900000 21286.810000
1.000000 61.500000 3782.250000
1.000000 119.400000 14256.360000
1.000000 85.200000 7259.040000
1.000000 86.600000 7499.560000
1.000000 85.800000 7361.640000
1.000000 28.500000 812.250000
1.000000 101.800000 10363.240000
1.000000 57.300000 3283.290000
1.000000 41.000000 1681.000000
1.000000 109.300000 11946.490000
1.000000 75.600000 5715.360000
1.000000 103.200000 10650.240000
1.000000 38.900000 1513.210000
1.000000 40.700000 1656.490000
1.000000 48.400000 2342.560000
1.000000 130.800000 17108.640000
1.000000 62.600000 3918.760000
1.000000 86.400000 7464.960000
1.000000 31.500000 992.250000
1.000000 60.800000 3696.640000
1.000000 127.800000 16332.840000
1.000000 104.000000 10816.000000
1.000000 78.200000 6115.240000
1.000000 123.500000 15252.250000
1.000000 96.400000 9292.960000
1.000000 95.200000 9063.040000
1.000000 79.300000 6288.490000
1.000000 156.000000 24336.000000
1.000000 65.900000 4342.810000
1.000000 84.500000 7140.250000
1.000000 75.000000 5625.000000
1.000000 76.800000 5898.240000
1.000000 30.900000 954.810000
1.000000 80.800000 6528.640000
1.000000 104.200000 10857.640000
1.000000 79.300000 6288.490000
1.000000 161.700000 26146.890000
1.000000 50.900000 2590.810000
1.000000 100.100000 10020.010000
1.000000 57.800000 3340.840000
1.000000 133.000000 17689.000000
1.000000 143.700000 20649.690000
1.000000 113.900000 12973.210000
1.000000 134.000000 17956.000000
1.000000 78.800000 6209.440000
1.000000 23.900000 571.210000
1.000000 108.100000 11685.610000
1.000000 50.100000 2510.010000
1.000000 157.500000 24806.250000
1.000000 114.400000 13087.360000
1.000000 37.700000 1421.290000
1.000000 92.700000 8593.290000
1.000000 26.400000 696.960000
1.000000 163.600000 26764.960000
1.000000 160.000000 25600.000000
1.000000 48.500000 2352.250000
1.000000 72.800000 5299.840000
1.000000 58.400000 3410.560000
1.000000 44.400000 1971.360000
1.000000 119.300000 14232.490000
1.000000 39.600000 1568.160000
1.000000 110.900000 12298.810000
1.000000 59.300000 3516.490000
1.000000 29.200000 852.640000
1.000000 79.800000 6368.040000
1.000000 84.400000 7123.360000
1.000000 26.900000 723.610000
1.000000 152.800000 23347.840000
1.000000 93.100000 8667.610000
1.000000 151.100000 22831.210000
1.000000 104.900000 11004.010000
1.000000 169.900000 28866.010000
1.000000 14.000000 196.000000
1.000000 156.000000 24336.000000
1.000000 159.300000 25376.490000
1.000000 108.100000 11685.610000
1.000000 108.100000 11685.610000
1.000000 13.700000 187.690000
1.000000 70.500000 4970.250000
1.000000 144.200000 20793.640000
1.000000 99.800000 9960.040000
1.000000 77.700000 6037.290000
1.000000 31.100000 967.210000
1.000000 84.800000 7191.040000
1.000000 41.600000 1730.560000
1.000000 111.400000 12409.960000
1.000000 121.300000 14713.690000
1.000000 57.000000 3249.000000
1.000000 21.700000 470.890000
1.000000 73.800000 5446.440000
1.000000 63.900000 4083.210000
1.000000 104.900000 11004.010000
1.000000 105.200000 11067.040000
1.000000 136.400000 18604.960000
1.000000 78.800000 6209.440000
1.000000 69.500000 4830.250000
1.000000 12.200000 148.840000
1.000000 121.400000 14737.960000
1.000000 59.400000 3528.360000
1.000000 77.600000 6021.760000
1.000000 153.900000 23685.210000
1.000000 21.900000 479.610000
1.000000 123.600000 15276.960000
1.000000 101.000000 10201.000000
1.000000 112.700000 12701.290000
1.000000 176.800000 31258.240000
1.000000 132.000000 17424.000000
1.000000 79.900000 6384.010000
1.000000 150.300000 22590.090000
1.000000 98.300000 9662.890000
1.000000 7.200000 51.840000
1.000000 149.600000 22380.160000
1.000000 153.000000 23409.000000
1.000000 15.400000 237.160000
1.000000 56.300000 3169.690000
1.000000 24.100000 580.810000
1.000000 81.100000 6577.210000
1.000000 90.900000 8262.810000
1.000000 144.600000 20909.160000
1.000000 112.800000 12723.840000
1.000000 100.800000 10160.640000
1.000000 121.600000 14786.560000
1.000000 121.000000 14641.000000
1.000000 76.300000 5821.690000
1.000000 55.300000 3058.090000
1.000000 45.300000 2052.090000
1.000000 62.800000 3943.840000
1.000000 26.300000 691.690000
1.000000 51.900000 2693.610000
1.000000 44.700000 1998.090000
1.000000 77.300000 5975.290000
1.000000 125.200000 15675.040000
1.000000 145.900000 21286.810000
1.000000 84.700000 7174.090000
1.000000 76.700000 5882.890000
1.000000 83.900000 7039.210000
1.000000 101.300000 10261.690000
1.000000 121.100000 14665.210000
1.000000 15.900000 252.810000
1.000000 122.100000 14908.410000
1.000000 68.800000 4733.440000
1.000000 56.100000 3147.210000
1.000000 127.400000 16230.760000
1.000000 52.800000 2787.840000
1.000000 84.400000 7123.360000
1.000000 155.400000 24149.160000
1.000000 125.700000 15800.490000
1.000000 86.600000 7499.560000
1.000000 25.300000 640.090000
1.000000 112.600000 12678.760000
1.000000 134.700000 18144.090000
1.000000 93.200000 8686.240000
1.000000 64.900000 4212.010000
1.000000 108.900000 11859.210000
1.000000 115.300000 13294.090000
1.000000 174.200000 30345.640000
1.000000 11.500000 132.250000
1.000000 99.900000 9980.010000
1.000000 125.900000 15850.810000
1.000000 81.100000 6577.210000
1.000000 68.600000 4705.960000
1.000000 98.300000 9662.890000
1.000000 98.200000 9643.240000
1.000000 77.100000 5944.410000
1.000000 98.100000 9623.610000
1.000000 128.300000 16460.890000
1.000000 82.400000 6789.760000
1.000000 75.200000 5655.040000
1.000000 118.800000 14113.440000
1.000000 61.500000 3782.250000
1.000000 93.900000 8817.210000
1.000000 25.300000 640.090000
1.000000 102.500000 10506.250000
1.000000 25.700000 660.490000
1.000000 151.900000 23073.610000
1.000000 132.900000 17662.410000
1.000000 71.800000 5155.240000
1.000000 51.900000 2693.610000
1.000000 69.400000 4816.360000
1.000000 126.900000 16103.610000
1.000000 110.300000 12166.090000
1.000000 155.500000 24180.250000
1.000000 92.400000 8537.760000
1.000000 56.400000 3180.960000
1.000000 121.800000 14835.240000
1.000000 84.000000 7056.000000
1.000000 128.200000 16435.240000
1.000000 52.800000 2787.840000
1.000000 48.500000 2352.250000
1.000000 122.200000 14932.840000
1.000000 90.100000 8118.010000
1.000000 119.900000 14376.010000
1.000000 38.500000 1482.250000
1.000000 96.500000 9312.250000
1.000000 87.300000 7621.290000
1.000000 70.400000 4956.160000
1.000000 138.400000 19154.560000
1.000000 111.700000 12476.890000
1.000000 116.400000 13548.960000
1.000000 10.400000 108.160000
1.000000 92.800000 8611.840000
1.000000 106.600000 11363.560000
1.000000 91.500000 8372.250000
1.000000 34.300000 1176.490000
1.000000 120.700000 14568.490000
1.000000 155.700000 24242.490000
1.000000 146.800000 21550.240000
1.000000 92.700000 8593.290000
1.000000 83.800000 7022.440000
1.000000 66.700000 4448.890000
1.000000 149.200000 22260.640000
1.000000 72.000000 5184.000000
1.000000 109.200000 11924.640000
1.000000 105.700000 11172.490000
1.000000 83.200000 6922.240000
1.000000 148.200000 21963.240000
1.000000 65.700000 4316.490000
1.000000 5.800000 33.640000
1.000000 160.700000 25824.490000
1.000000 55.500000 3080.250000
1.000000 44.300000 1962.490000
1.000000 78.900000 6225.210000
1.000000 129.600000 16796.160000
1.000000 33.700000 1135.690000
1.000000 69.100000 4774.810000
1.000000 52.800000 2787.840000
1.000000 147.700000 21815.290000
1.000000 87.500000 7656.250000
1.000000 130.200000 16952.040000
1.000000 67.800000 4596.840000
1.000000 43.700000 1909.690000
1.000000 103.400000 10691.560000
1.000000 120.700000 14568.490000
1.000000 18.700000 349.690000
1.000000 38.000000 1444.000000
1.000000 54.400000 2959.360000
1.000000 82.900000 6872.410000
1.000000 112.800000 12723.840000
1.000000 94.800000 8987.040000
1.000000 40.400000 1632.160000
1.000000 32.000000 1024.000000
1.000000 133.700000 17875.690000
1.000000 72.400000 5241.760000
1.000000 119.500000 14280.250000
1.000000 133.800000 17902.440000
1.000000 11.100000 123.210000
1.000000 103.200000 10650.240000
1.000000 145.200000 21083.040000
1.000000 96.400000 9292.960000
1.000000 55.700000 3102.490000
1.000000 80.600000 6496.360000
1.000000 104.000000 10816.000000
1.000000 113.900000 12973.210000
1.000000 109.000000 11881.000000
1.000000 76.200000 5806.440000
1.000000 118.900000 14137.210000
1.000000 130.600000 17056.360000
1.000000 90.200000 8136.040000
1.000000 28.400000 806.560000
1.000000 74.700000 5580.090000
1.000000 28.400000 806.560000
1.000000 39.500000 1560.250000
1.000000 137.100000 18796.410000
1.000000 145.300000 21112.090000
1.000000 149.400000 22320.360000
1.000000 21.000000 441.000000
1.000000 111.200000 12365.440000
1.000000 37.100000 1376.410000
1.000000 69.100000 4774.810000
1.000000 133.600000 17848.960000
1.000000 92.300000 8519.290000
1.000000 114.600000 13133.160000
1.000000 92.700000 8593.290000
1.000000 96.000000 9216.000000
1.000000 115.200000 13271.040000
1.000000 157.300000 24743.290000
1.000000 109.400000 11968.360000
1.000000 102.700000 10547.290000
1.000000 114.700000 13156.090000
1.000000 81.500000 6642.250000
1.000000 84.300000 7106.490000
1.000000 125.500000 15750.250000
1.000000 41.000000 1681.000000
1.000000 122.300000 14957.290000
1.000000 122.900000 15104.410000
1.000000 45.900000 2106.810000
1.000000 95.800000 9177.640000
1.000000 134.300000 18036.490000
1.000000 76.200000 5806.440000
1.000000 85.000000 7225.000000
1.000000 29.500000 870.250000
1.000000 60.800000 3696.640000
1.000000 61.100000 3733.210000
1.000000 101.800000 10363.240000
1.000000 133.000000 17689.000000
1.000000 34.000000 1156.000000
1.000000 128.000000 16384.000000
1.000000 50.800000 2580.640000
1.000000 138.400000 19154.560000
1.000000 25.600000 655.360000
1.000000 161.300000 26017.690000
1.000000 135.100000 18252.010000
1.000000 113.700000 12927.690000
1.000000 132.900000 17662.410000
1.000000 128.100000 16409.610000
1.000000 57.400000 3294.760000
1.000000 169.000000 28561.000000
1.000000 92.100000 8482.410000
1.000000 48.600000 2361.960000
1.000000 62.500000 3906.250000
1.000000 20.100000 404.010000
1.000000 82.200000 6756.840000
1.000000 121.200000 14689.440000
1.000000 119.500000 14280.250000
1.000000 62.800000 3943.840000
1.000000 121.000000 14641.000000
1.000000 65.200000 4251.040000
1.000000 85.800000 7361.640000
1.000000 63.400000 4019.560000
1.000000 135.200000 18279.040000
1.000000 104.600000 10941.160000
1.000000 47.600000 2265.760000
1.000000 96.900000 9389.610000
1.000000 128.000000 16384.000000
1.000000 67.000000 4489.000000
1.000000 98.400000 9682.560000
1.000000 86.200000 7430.440000
1.000000 42.700000 1823.290000
1.000000 149.700000 22410.090000
1.000000 62.400000 3893.760000
1.000000 149.000000 22201.000000
1.000000 21.600000 466.560000
1.000000 96.700000 9350.890000
1.000000 142.700000 20363.290000
1.000000 62.000000 3844.000000
1.000000 91.600000 8390.560000
1.000000 49.600000 2460.160000
1.000000 47.700000 2275.290000
1.000000 12.300000 151.290000
1.000000 109.300000 11946.490000
1.000000 119.800000 14352.040000
1.000000 97.300000 9467.290000
1.000000 66.600000 4435.560000
1.000000 52.100000 2714.410000
1.000000 106.200000 11278.440000
1.000000 132.000000 17424.000000
1.000000 128.600000 16537.960000
1.000000 49.000000 2401.000000
1.000000 143.200000 20506.240000
1.000000 105.700000 11172.490000
1.000000 74.900000 5610.010000
1.000000 91.200000 8317.440000
1.000000 139.200000 19376.640000
1.000000 60.200000 3624.040000
1.000000 40.000000 1600.000000
1.000000 18.000000 324.000000
1.000000 143.500000 20592.250000
1.000000 54.300000 2948.490000
1.000000 58.000000 3364.000000
1.000000 97.700000 9545.290000
1.000000 140.400000 19712.160000
1.000000 63.000000 3969.000000
1.000000 79.600000 6336.160000
1.000000 61.400000 3769.960000
1.000000 13.500000 182.250000
1.000000 72.000000 5184.000000
1.000000 105.800000 11193.640000
1.000000 141.000000 19881.000000
1.000000 66.200000 4382.440000
1.000000 58.500000 3422.250000
1.000000 17.900000 320.410000
1.000000 26.700000 712.890000
1.000000 65.400000 4277.160000
1.000000 151.300000 22891.690000
1.000000 83.100000 6905.610000
1.000000 82.100000 6740.410000
1.000000 69.600000 4844.160000
1.000000 75.400000 5685.160000
1.000000 20.800000 432.640000
1.000000 36.200000 1310.440000
1.000000 46.600000 2171.560000
1.000000 65.200000 4251.040000
1.000000 89.800000 8064.040000
1.000000 82.900000 6872.410000
1.000000 128.700000 16563.690000
1.000000 114.400000 13087.360000
1.000000 81.100000 6577.210000
1.000000 171.700000 29480.890000
1.000000 90.800000 8244.640000
1.000000 69.700000 4858.090000
1.000000 88.800000 7885.440000
1.000000 79.400000 6304.360000
1.000000 131.500000 17292.250000
1.000000 136.900000 18741.610000
1.000000 45.800000 2097.640000
1.000000 130.600000 17056.360000
1.000000 66.700000 4448.890000
1.000000 29.200000 852.640000
1.000000 153.300000 23500.890000
1.000000 34.600000 1197.160000
1.000000 70.000000 4900.000000
1.000000 123.700000 15301.690000
1.000000 66.300000 4395.690000
1.000000 13.300000 176.890000
1.000000 131.300000 17239.690000
1.000000 100.500000 10100.250000
1.000000 170.300000 29002.090000
1.000000 23.200000 538.240000
1.000000 144.900000 20996.010000
1.000000 126.000000 15876.000000
1.000000 147.200000 21667.840000
1.000000 78.900000 6225.210000
1.000000 114.000000 12996.000000
1.000000 64.500000 4160.250000
1.000000 43.500000 1892.250000
1.000000 65.900000 4342.810000
1.000000 50.100000 2510.010000
1.000000 94.400000 8911.360000
1.000000 129.600000 16796.160000
1.000000 13.900000 193.210000
1.000000 84.000000 7056.000000
1.000000 42.500000 1806.250000
1.000000 113.200000 12814.240000
1.000000 70.800000 5012.640000
1.000000 18.700000 349.690000
1.000000 127.700000 16307.290000
1.000000 118.200000 13971.240000
1.000000 81.100000 6577.210000
1.000000 64.900000 4212.010000
1.000000 20.900000 436.810000
1.000000 45.000000 2025.000000
1.000000 73.600000 5416.960000
1.000000 112.300000 12611.290000
1.000000 98.000000 9604.000000
1.000000 60.300000 3636.090000
1.000000 72.100000 5198.410000
1.000000 113.000000 12769.000000
1.000000 121.700000 14810.890000
1.000000 44.700000 1998.090000
1.000000 21.100000 445.210000
1.000000 98.300000 9662.890000
